MOVIE_NUM,movie_title,ott_release_month
2069,어쌔신크리드,201702
2070,내여자친구의남자친구,201211
2071,2012,201302
2076,브로크백마운틴,201505
2085,킹아더(2004),201407
2087,캡틴마블,201905
2109,영웅본색(1986),201804
2110,뷰티풀보이,201910
2118,허삼관,201502
2120,마티나:위험한정사,202003
2123,드래곤길들이기3,201903
2126,트라우마센터,202003
2128,봄날은간다,201812
2133,온워드:단하루의기적,202007
2135,스쿨오브락,201211
2137,마이펫의이중생활2,201908
2140,클로이,201302
2145,올마이라이프,202102
2147,나바론요새,201803
2150,JamDocu강정,201203
2151,붉은10월,201506
2153,안나카레니나:브론스키백작의사랑,201810
2155,시크릿인데어아이즈,201605
2161,47미터,201708
2170,소울,202103
2175,완벽한주인,201910
2182,리틀포레스트:여름과가을,201503
2183,미드소마[감독판],201910
2185,아버지의깃발,201504
2193,여인의향기,201506
2194,툼인베이더,201902
2195,춤추는숲,201306
2196,미스터빈의홀리데이(2007),201605
2198,어니스트씨프,202102
2202,하늘이기다려,201707
2204,비포미드나잇(2013),202103
2212,마가렛앤줄리앙:금지된사랑,201712
2225,옆자리괴물군(2018),201910
2226,스윗프랑세즈,201908
2233,밀정,201808
2242,후계자들(2019),202004
2245,레고DC샤잠!매직앤몬스터즈,202004
2254,연평해전,201507
2255,점쟁이들,202010
2256,베어(1988),201512
2257,뮤턴트워,201806
2265,이웃집에신이산다,201909
2274,에이리언2,201606
2286,미스터하트,202010
2293,브레이브언더파이어,202103
2298,나미야잡화점의기적,201803
2302,막다른골목의추억,201904
2305,이트(2016),201902
2314,스페셜포스:화이트마운틴,201804
2315,맨발의기봉이(2006),202006
2316,원더풀고스트,201810
2328,변호인,201504
2329,금발이너무해(2001),201908
2336,한낮의유성,201804
2338,겨울왕국[영어자막],201611
2343,오픈더도어,202004
2345,바람의언덕,202005
2354,구마적,201912
2355,바스터즈:거친녀석들,201406
2357,피치걸,201710
2360,은밀한유혹(1993),201506
2362,장난스런키스(2018),201904
2365,더웨이브,201607
2367,방황하는칼날,201405
2371,몽골,201907
2372,두잇![리마스터링],201509
2380,디어존,201306
2387,아메리칸히스토리X,202001
