MOVIE_ID,TITLE,viewer_count,repurchase_cnt,avg_duration,repurchase_rate
11363,해리포터와비밀의방,73,50,152.42465753424656,0.6849
1784,오목소녀(2018),73,54,34.41095890410959,0.7397
5084,라스트특공대,73,49,34.21917808219178,0.6712
7431,아드레날린242(2009),72,53,41.611111111111114,0.7361
14529,7번째내가죽던날,72,47,50.72222222222222,0.6528
4396,제인의썸머,71,49,20.492957746478872,0.6901
1209,인시디어스:두번째집,71,54,57.774647887323944,0.7606
6024,신패왕화:예스마담,71,50,23.704225352112676,0.7042
7121,논스톱(2014),71,40,79.91549295774648,0.5634
5414,다만악에서구하소서,71,43,66.1830985915493,0.6056
2835,존윅3:파라벨룸,70,52,86.97142857142858,0.7429
1000,언노운솔저,70,47,67.45714285714286,0.6714
11845,런,69,51,64.31884057971014,0.7391
4182,암고양이들,69,43,25.26086956521739,0.6232
12364,테넷,69,42,79.65217391304348,0.6087
5466,샷콜러,69,42,69.18840579710145,0.6087
12987,시카리오:데이오브솔다도,68,45,73.51470588235294,0.6618
13251,썸머85,67,45,29.253731343283583,0.6716
1145,람보[특별판],67,53,40.46268656716418,0.791
7013,영웅:천하의시작,67,45,65.2089552238806,0.6716
12918,킬러더스파이,66,45,62.77272727272727,0.6818
2372,두잇![리마스터링],66,46,19.939393939393938,0.697
9267,런보이런,65,42,23.46153846153846,0.6462
9670,공범자들,65,42,49.41538461538462,0.6462
10130,베를린천사의시,65,38,9.738461538461538,0.5846
13608,빅히어로,65,49,80.1076923076923,0.7538
2087,캡틴마블,64,44,81.859375,0.6875
2508,더원(2001),64,39,63.65625,0.6094
2569,김복남살인사건의전말,64,41,40.9375,0.6406
5416,라이프(2017),64,42,66.4375,0.6562
11030,태극권,64,43,33.359375,0.6719
6271,레컨,63,47,18.73015873015873,0.746
11656,루터,63,35,76.73015873015873,0.5556
7530,덫[무삭제판],63,38,16.634920634920636,0.6032
2849,"러브,어게인",62,40,66.75806451612904,0.6452
2145,올마이라이프,62,33,9.806451612903226,0.5323
12173,"러브,로지",62,41,60.79032258064516,0.6613
4391,무비빅158회:씬난다-<잭스나이더의저스티스리그>,61,36,8.770491803278688,0.5902
1490,폴리스,61,40,33.950819672131146,0.6557
13838,법정스님의의자,61,41,61.98360655737705,0.6721
10167,레지던트이블(2002),61,38,84.31147540983606,0.623
10693,더이퀄라이저2,60,37,82.0,0.6167
2842,죽지않는인간들의밤,60,37,58.75,0.6167
7220,백조공주:왕가의비밀(2014),60,42,33.61666666666667,0.7
1435,아나콘다(1997),60,36,71.58333333333333,0.6
13909,굿다이노,60,37,60.733333333333334,0.6167
11193,해리포터와아즈카반의죄수,59,37,131.0677966101695,0.6271
11062,돌이킬수없는(2002),59,33,28.050847457627118,0.5593
7938,미녀와야수(2017),59,41,89.62711864406779,0.6949
10487,더비포타임,59,35,30.338983050847457,0.5932
10909,당산대형(1971),59,36,70.67796610169492,0.6102
13117,범죄의여왕,59,38,57.03389830508475,0.6441
7958,아오하라이드(2016),59,33,35.50847457627118,0.5593
7998,말레피센트2,59,40,75.22033898305085,0.678
1455,몬스터호텔3,59,38,111.89830508474576,0.6441
7093,아수라도,58,32,33.94827586206897,0.5517
5308,아이스틸씨유,58,36,58.172413793103445,0.6207
552,국가대표,58,35,122.74137931034483,0.6034
12097,엽문4:종극일전,57,38,39.92982456140351,0.6667
6782,1941:세바스토폴상륙작전,57,38,47.49122807017544,0.6667
13953,국두,57,41,17.57894736842105,0.7193
9552,봉마전,56,45,40.232142857142854,0.8036
12276,천녀유혼(1987),56,33,49.17857142857143,0.5893
454,라스트솔져스:최후의결전,56,37,33.94642857142857,0.6607
14478,국제수사,56,36,69.35714285714286,0.6429
10121,애비규환,56,37,65.39285714285714,0.6607
7976,해리포터와불의잔,56,41,136.125,0.7321
6288,데이라이트,56,33,64.19642857142857,0.5893
2256,베어(1988),55,36,76.61818181818182,0.6545
