MOVIE_ID,totCnt,MovieCd,MovieNm(csv),movieNm(api),showTm,prdtYear,openDt,typeNm,nationNm,genreNm,watchGrade
3563,1,20173410,뱀파이어클린업디파트먼트,뱀파이어 클린업 디파트먼트,93,2017,20180609,장편,홍콩,액션,12세이상관람가
3564,1,20141709,흉악-어느사형수의고발,흉악-어느 사형수의 고발,128,2013,20140925,장편,일본,스릴러,청소년관람불가
3565,2,,바람이우리를데려다주리라,,,,,,,,
3566,1,20147955,피카소:명작스캔들,피카소: 명작스캔들,100,2012,20140320,장편,스페인,드라마,15세이상관람가
3567,1,20169304,잠자는소녀,잠자는 소녀,77,2015,,장편,호주,판타지,15세이상관람가
3568,0,,대근이가왔소(1979),,,,,,,,
3569,1,20201030,징기스칸의후예,징기스칸의 후예,118,2018,,장편,몽고,액션,15세이상관람가
3570,1,20155785,리틀액시던트,리틀 액시던트,104,2014,,장편,미국,드라마,15세이상관람가
3571,1,19828279,파이어폭스,파이어폭스,,1982,,,,,
3572,2,,혼스,,,,,,,,
3573,1,20185325,배틀드론,배틀 드론,93,2018,20190103,장편,미국,액션,15세이상관람가
3574,8,,오두막,,,,,,,,
3575,58,,킹덤,,,,,,,,
3576,1,20207004,청사:낙천결계,청사: 낙천결계,77,2019,,장편,중국,액션,15세이상관람가
3577,0,,혼:나는죽지않았다,,,,,,,,
3578,2,,나쁜사랑,,,,,,,,
3579,0,,네이키드웨폰:적나특공,,,,,,,,
3580,1,2022A294,51구역의비밀,51구역의 비밀,,2011,,온라인전용,미국,공포(호러),
3581,1,20131573,식스블릿츠:분노의추적,식스 블릿츠: 분노의 추적,114,2012,20130816,장편,미국,스릴러,청소년관람불가
3582,1,20160402,얼라이스:연합군특수부대,얼라이스: 연합군특수부대,93,2014,20161019,장편,영국,액션,15세이상관람가
3583,8,,지젤,,,,,,,,
3584,1,20204449,심야식당:식도락,심야식당: 식도락,102,2019,,장편,중국,드라마,
3585,1,20181282,"센베노,평창","센베노,평창",52,2018,20200101,장편,한국,다큐멘터리,12세이상관람가
3586,1,19880163,썸머스토리,썸머 스토리,105,1988,19880723,장편,영국,멜로/로맨스,고등학생이상관람가
